地点,薪资,职位,岗位需求
北京,10K-15K,java高级工程师,此职位工作需要3年以上实际开发经验，请应届及3年实际开发经验以下者请勿投，谢谢合作，避免浪费双方时间1. 具有扎实的Java基础，逻辑思维缜密；2. 2-3年WEB开发经验3. 熟练使用Spring+SpringMVC+MyBatis框架；4. 熟练掌握JSON数据格式；5. 熟练使用MySql、Redis等数据库；6. 熟练使用关联查询、子查询、聚合函数等SQL语法；7. 熟练使用JSP、FreeMarker、Thymeleaf等模板之一，熟悉HTML5标签的使用；8.熟练掌握js、jQuery框架、easyUI或Ext.js框架；9. 熟悉OA、供应链技术者优先。
烟台,8K-10K,java工程师,"要求：1.3年左右Java开发工作经验2.有大数据处理经验，熟悉爬虫3.有丰富websoket爬取数据经验,了解爬虫框架。4.对数据高频率变化的处理有经验。5.对反爬虫处理有丰富的经验。"
青岛,10K-15K,JAVA高级工程师,"职位描述：1. 负责Web、移动端的后台架构开发工作；2. 负责系统架构设计，承担核心基础模块、业务功能实现、程序设计、数据库设计和编码实现；3. 参与需求调研、需求分析、软件设计，撰写产品概要设计、详细设计、接口设计等相关文档；4. 负责高并发、海量数据等方面的架构设计和性能调优。5. 在主导系统架构设计、承担系统和项目开发工作的同时，能够指导其他工程师，解决技术难题、进行技术分享，共同促进团队成员进步。6. 负责项目的整体把控（人员安排、进度汇报）。任职要求：1. 5年以上实际项目开发经验。2. 具备扎实的Java编程基础，设计模式，有良好的编码习惯；3. 熟练掌握 MySQL 应用开发、数据库原理和常用性能优化和扩展技术，以及 NoSQL，Queue 的原理、使用场景以及限制4.精通以下一种技术4-1)精通Java EE的主流开源框架，并了解其原理和机制，如Spring、iBatis、Struts等；4-2)精通C#.Net开发，有实际项目开发经验；5. 熟悉各种通讯（http，json，socket等）协议，熟练掌握各种通讯协议的开发技巧；6. 具有出色的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题；7. 具备强烈的进取心和责任感, 极强的学习能力及良好的团队合作精神。8. 有大数据、分布式系统开发设计经验优先；9. 有丰富Java编程、设计经验，具有多线程、分布式、高并发、高负载、高可用性、系统调优经验者优先。"
郑州,8K-15K,java工程师,职位信息1、4年以上的大型Web应用开发及架构经验，Java基础扎实；2.熟练使用Spring、SpringMVC、Mybatis，熟悉SpringBoot、Shiro、Redis等开源框架并有实际开发经验；3.熟练掌握Weblogic/Websphere/Resin/Tomcat等一种或以上的应用服务器安装、部署、调优；4.熟练使用MySQL，PostgreSQL等数据库应用，以及分布式部署，熟悉数据库底层技术，SQL调优等；5.熟练使用Eclipse、MyEclipse等开发工具6.熟悉Tomcat开发调试和部署技术，了解常见应用服务器技术及调优方法，熟悉Tomcat集群及分布式；7.熟悉Linux下的J2EE项目开发与部署；8.熟练使用原生JS和JQuery，熟悉HTML、CSS，熟悉anglarjs、vue、Bootstrap等前端框架； 并有相关的开发经验；9.具有较好的沟通能力、团队协作能力及技术文档编写能力，具备良好的代码书写习惯，具备良好的技术跟踪和创新能力。10.熟练使用svn，git等版本控制工具，对版本控制有较深理解。任职要求：计算机相关专业大学专科及以上学历，4年以上Java开发工作经验；
沈阳,4K-8K,java开发工程师(双休+五险),职位描述：1、根据项目计划，完成个人目标。2、根据设计文档进行编码、代码注释、单元测试及完成其他开发文档。3、分析并解决编码、单元测试过程中的问题。4、及时发现设计中的问题，提出合理建议。5、协助PL完善设计及各项测试工作。6、配合项目经理完成相关任务目标。职位要求：1、计算机或相关专业，大专以上学历，三年及以上java开发设计经验。2、熟悉Java、JavaScript、JSP编程等开发语言的一种或者多种。3、熟练掌握Eclipse或同类的开发工具。4、熟悉tomcat、websphere、weblogic等应用服务器的操作。5、熟悉Oracle、SQL Server 、MySQL等数据库，熟练使用SQL语句。6、具有高度的责任心、良好的沟通能力及团队合作精神。7、精通日语。
武汉-青山区,4K-6K,招JAVA开发工程师 实习生 住宿 五险一金,"岗位职责：1、可接受应届毕业生，这次是公司内部急聘，没有项目经验也没有关系。但是必须有责任心。年龄18—30周岁，超龄勿投。2、爱好互联网，有团队合作精神3、有责任心，性格活泼开朗，工作踏实4、因为这次针对的是应届生，对经验要求不高，综合能力比较强的话，也可以入职。入职后前期有老人带。5、人正直，有责任感。任职资格：1、面试通过后，实习期基本工资3000元—4000元+项目提成,转正工资5000元—6000元+项目提成。办公环境优美，福利待遇齐全，职位发展空间大。2、五险一金，年底双薪，双休，加班有加班补助。3.有竞争力薪酬：每年都有年度调薪，优秀的你有获得额外调薪机会4.假期：除法定节假日外，您可享受带薪病假，还有7-12天带薪年假5.补贴：加班补贴、年底双薪、生日礼金、、。6.绩效奖金：为了更好的体现您的能力，我们有合理有效的绩效考核标准，也为您准备了丰厚的绩效奖金。7.其它关怀：公司旅游、半月一次公司聚餐。工作时间：周一至周五上午9:00-18:00，双休，中午休息一个半小时"
沈阳,4K-6K,java初级工程师,1、参与项目系统设计，完成软件项目的程序开发工作；2、负责产品需求分析、设计和文档编写；3、根据产品需求和设计进行软件开发；4、根据市场需求提供售前支持；5、完成直接上级交办的其他工作任务。6、工作地点：沈阳、北京、大连、青岛、南京、上海、杭州、江苏等(工资根据实际情况调整)职位要求：1、熟悉JAVA、JSP、Servlet、JavaScript、XML、JDBC等J2EE相关编程技术，熟练使用Eclipse等开发工具、开发过程中Ant、VSS等辅助工具；2、熟练使用Spring、Struts、Hibernate三大框架编程，精通SQL语言，具备mvc实践经验和 Oracle、SqlServer 、MySQL 等大型数据库开发经验；3、具备良好的沟通能力、协调能力和问题解决能力；4、具备较强的需求分析和系统设计能力，良好文档编写能力、英语基础和读写能力；5、有B2B、B2C网站开发经验者优先。
深圳,10K-15K,Java高级开发工程师,"1 精通Java，熟练掌握设计模式及基础的封装工具类，了解java底层源码，有良好的编程习惯，熟悉团队开发模式2 熟练掌握前端技术，html，css，js，jquery等，熟练掌握至少一个前端框架，使用过Bootstrap优先考虑3 熟练掌握Spring，SpringMVC，mybatis框架，了解Springboot，对Spring原理有一定的了解4 熟练使用maven,以及maven聚合工程,了解shiro安全框架的使用，dubbo，zookeeper的使用5 熟练使用mysql数据库，sql优化以及nosql数据库redis的使用6 熟悉linux操作系统，以及IDEA开发工具，git版本控制"
北京,15K-20K,java开发工程师,职位要求：1、至少参与过两个以上项目开发工作，并且至少独立完成两个以上功能模块的设计、开发；2、熟悉Java EE相关技术和主流框架及其技术原理（Struts/iBatis/MyBatis/Hibernate/Spring/SpringMVC等相关技术）；3、熟练JavaScript，熟悉easyUI、echart、Bootstrap等前端框架；4、了解面向服务的体系结构（SOA）和OSGI技术规范；5、熟练使用Eclipse开发工具，掌握Tomcat、Weblogic、Websphere等主流J2EE应用服务器一种或多种；掌握SVN、Maven工具使用经验者优先；6、熟悉WebService、Restful API、分布式多线程等高性能架构相关开发技术；7、熟悉主流数据库（比如Oracle、MySQL）设计与优化，能熟练使用SQL语言编程，能对常见sql语句进行调优。8、熟悉CMMI体系，能够按照要求编写各类文档，文档结构条例清晰，内容详实准确；9、具有独立理解所担当模块业务理解能力和问题阐述能力；10、至少熟悉一种UML建模工具，可基于对业务的理解搭建需求模型；福利：国企待遇  工作环境优越  有班车 有食堂 
天津,4K-8K,java开发工程师,工作职责：1、参与项目系统设计，完成软件项目的程序开发工作；2、负责产品需求分析、设计和文档编写；3、根据产品需求和设计进行软件开发；4、根据市场需求提供售前支持；5、完成直接上级交办的其他工作任务。 职位要求：1、熟悉JAVA、JSP、Servlet、JavaScript、XML、JDBC等J2EE相关编程技术，熟练使用Eclipse、idea等开发工具、开发过程中Maven、SVN等辅助工具；2、熟练使用SpringMVC框架编程，精通SQL语言，具备mvc实践经验和 Oracle、SqlServer 、MySQL 等大型数据库开发经验；3、具备良好的沟通能力、协调能力和问题解决能力；4、具备较强的需求分析和系统设计能力，良好文档编写能力、英语基础和读写能力；5、有B2B、B2C网站开发经验者优先。6、有Dubbo开发经验者优先。
